"",".id","Start_time","End_time","tdiff_sec","n_time","DO_mgL_mean","DO_psat_mean","WaterTempC_mean","DO_mgL_sd","DO_psat_sd","WaterTempC_sd","DO_mgL_min","DO_psat_min","WaterTempC_min","DO_mgL_max","DO_psat_max","WaterTempC_max","DOmgL_X5.","DOmgL_X10.","DOmgL_X25.","DOmgL_X50.","DOmgL_X75.","DOmgL_X90.","DOmgL_X95.","DOpsat_X5.","DOpsat_X10.","DOpsat_X25.","DOpsat_X50.","DOpsat_X75.","DOpsat_X90.","DOpsat_X95.","Temp_X5.","Temp_X10.","Temp_X25.","Temp_X50.","Temp_X75.","Temp_X90.","Temp_X95.","Hyp_pr_sub2","Hyp_pr_sub3","Hyp_pr_sub4","Hyp_pr_sub5"
"175","nwis_03027500 _TS.csv",2014-06-01 04:00:00,2016-02-18 04:46:00,900,112720,11.2377603519852,102.170251362788,8.72344262148669,1.25117745054887,3.25218766309911,4.96502582191453,8.9,94.0199077319532,0.9,13.8,114.540147328708,19.8,9.5,9.6,10.1,11.2,12.3,13,13.2,96.9161330647722,97.7964380250518,100.08088501998,102.18454880567,104.018724142222,106.152246772615,107.966797858701,2,2.5,3.7,8.6,13.2,15.4,16.7,0,0,0,0
"176","nwis_03034000 _TS.csv",2011-06-03 04:00:00,2012-08-08 04:45:00,3600,106692,9.44136518707355,101.004688641903,16.5476510067114,1.43629182362226,13.7371709776326,4.87555400817096,4.3,46.6056314545904,1.6,14.9,168.919316215683,30.5,7.1,7.6,8.4,9.4,10.4,11.3,11.8,83.1717670066831,86.4598676052382,91.6617571368116,97.6802358258362,108.568495917346,120.859436853608,127.839730298244,8.2,9.7,13,17,20,22.8,24.2,0,0,0,3.74896903351578e-05
"177","nwis_03036000 _TS.csv",2009-06-01 04:00:00,2009-08-07 17:40:00,3600,123244,9.9034498425989,99.0787544196458,14.5323810143784,1.95742286509595,7.57468609333116,7.51029990865169,5.1,62.7825588569382,0,15.8,146.042220710492,28.6,7.5,7.8,8.4,9.3,11.2,13.2,13.6,86.7205146265824,89.1874620411791,94.0509454607119,99.0063675670503,104.466138131577,108.492991835391,110.856927379479,0.2,2,9.2,16.6,20.6,22.6,23.9,0,0,0,0
"178","nwis_03039035 _TS.csv",2010-07-21 04:00:00,2010-08-14 04:45:00,3600,107165,8.8445052022582,97.4768381814428,19.367590319841,1.54225939484484,7.07698806751849,7.06636624782591,4.5,57.2187106516984,1.4,13.7,147.259489404906,30.9,6.8,7.2,7.8,8.5,9.7,11.3,11.8,87.051412682226,89.9674700519058,94.1917370608261,97.3206098253014,100.146339934233,104.363587377713,109.539167043812,6.4,8,13.8,21.2,25.2,27.2,28,0,0,0,0.000195959501702981
"179","nwis_03039036 _TS.csv",2010-07-01 04:00:00,2010-08-14 04:45:00,3600,109437,8.72581119730987,96.4329699641007,19.5392097375539,1.54523860787473,5.34109570330199,6.91345954641323,3.3,42.0683194512839,1.3,13.9,128.516303523548,29.7,6.8,7.1,7.6,8.3,9.4,11.3,11.8,87.8784265544132,89.9186666877705,93.3041404036266,96.7609727734819,99.4826573642251,101.975849132515,103.810677928687,6.5,8.2,14.7,21.4,25.2,27.1,27.9,0,0,0.000155340515547758,0.000456883869258112
"180","nwis_03058000 _TS.csv",2008-06-01 04:00:00,2011-12-01 04:30:00,3600,159508,9.94041099325459,98.2730590584928,13.9299194281594,1.64050625595339,4.7690860099529,6.57206962580783,5.2,61.9800887017022,2.4,13.6,128.686651284347,25.4,7.8,8,8.5,9.7,11.4,12.4,12.7,90.6077982214852,93.1008404655838,95.9096753132096,98.7993687817746,100.9459374647,103.350759058,105.033816656348,3.6,4.2,7.9,14.5,20.2,21.8,23.2,0,0,0,0
"181","nwis_03061000 _TS.csv",2008-06-01 04:00:00,2011-12-16 15:30:00,3600,121194,9.71448349834984,97.4489198069366,15.3364559073716,2.46374785896314,14.4335867084636,8.24600213468644,2.8,33.3622828591351,0,18.3,180.875604223761,31,6.3,6.7,7.7,9.4,11.5,13,13.9,74.599052958019,80.4361307988399,89.2650286748042,96.8349045134289,104.977028911864,116.153809294208,122.444812247061,1.4,3.6,8.2,16,22.975,25.4,26.5,0,8.25082508250825e-06,9.9009900990099e-05,0.00377887788778878
"182","nwis_03067510 _TS.csv",2010-06-01 04:00:00,2013-01-09 16:30:00,3600,122364,10.1740443231405,98.4654308435,9.90061205811692,1.80696958999786,5.21257266183671,7.68443756145489,5.7,76.8056587532738,0,15,122.314112388618,31.1,7.4,7.8,8.6,10.1,11.9,12.6,12.7,90.8829561206138,92.7994359911323,95.4566867321375,97.6117812133643,100.914091923346,105.4953254027,108.823126937178,0,0,2.5,9.3,16.7,20.4,22.2,0,0,0,0
"183","nwis_03071605 _TS.csv",2013-08-01 04:00:00,2013-08-07 14:45:00,3600,68132,8.5714011037398,97.6011023247831,19.7477090887737,1.41334525298552,9.41079703138416,4.8055218275121,3.4,41.1632144516274,5.6,12.6,115.901124823924,27.4,6.3,6.9,7.7,8.4,9.4,10.6,11.2,76.8505409505516,83.4175049144177,94.8670520776465,100.275075863087,103.591595361932,106.279331940459,107.179022768814,10.5,12.5,16.2,21,23.5,25.2,25.7,0,0,0.000234838255151764,0.00566547290553631
"184","nwis_03071690 _TS.csv",2013-06-01 04:00:00,2013-04-19 15:15:00,3600,70298,8.36560641839028,90.889272597707,18.7729186996045,1.59653425303024,10.9693932876348,4.6950807189135,3.4,40.9130852026881,6,13.1,121.851416114034,27.1,6,6.4,7.2,8.2,9.5,10.6,11.2,70.1949694110465,75.427499996463,84.9028533874538,92.9771079027925,98.249813952595,102.517830954089,105.527403717075,10,11.8,15,20.1,22.4,24.1,25,0,0,0.000540555919087314,0.00904719906682978
"185","nwis_03072655 _TS.csv",2014-06-01 04:00:00,2014-02-18 04:45:00,900,77865,9.6232146296986,100.610554732553,17.4903592022294,2.20004058378994,7.41565982568527,8.07527731249267,5.4,67.007584717969,0.2,15.2,128.796174842984,28.8,7.1,7.3,7.9,9,10.8,13.5,14.1,87.4459231466743,90.5634596157524,95.7244386084899,101.364385535426,106.160048244182,109.23524607253,111.06360972777,2.1,4.1,12.1,20,24.4,26.3,26.9,0,0,0,0
"186","nwis_03073000 _TS.csv",2011-06-01 04:00:00,2015-04-25 05:01:00,3600,99457,8.77442211206853,96.9430084548863,18.9655953015477,2.0568857190212,19.3023930917827,5.09855952450196,2.4,24.7406280041252,4.6,19.9,237.056780804656,30.2,6.1,6.5,7.3,8.4,9.9,11.4,12.6,73.0868415221223,77.1033428728794,83.957229240638,93.3629639201575,106.101977740067,122.470641809304,134.418328849796,10,11.5,15,20,23.1,25,25.9,0,0.000140764350422796,0.000341856279598218,0.00471560573916366
"187","nwis_03075070 _TS.csv",2008-06-01 04:00:00,2010-08-14 04:45:00,3600,131550,8.21560775370581,97.4617933659148,22.5772508905773,1.14787365356381,7.44330238294473,5.05102474149278,4.1,55.6698266988106,7.5,12.1,154.471217881443,34.9,6.6,6.9,7.4,8,9,9.9,10.3,86.1541326168579,88.7419244924311,92.6596938996024,97.1080489399026,101.942238840117,107.062428805277,110.086879522394,14,15.2,18.6,23.5,26.4,28.5,29.9,0,0,0,0.000167236792094261
"188","nwis_03077100 _TS.csv",2011-06-01 04:00:00,2011-12-01 04:30:00,3600,50603,7.64511787838666,79.3597204073902,14.5077330592235,0.81929569291596,5.71851686328903,3.73548181605945,3.4,39.6334367813548,6.7,10.8,102.532054582735,22.4,6.5,6.7,7.1,7.6,8,8.8,9.2,71.2253741413909,72.6841216551091,75.4121907289335,78.8107855880223,82.7636946977011,86.3982457116065,89.587996540031,8.5,9.3,11.5,14.6,17.9,19.3,20,0,0,0.000158093393672312,0.000652135248898287
"189","nwis_03081000 _TS.csv",2008-06-14 04:00:00,2012-08-08 04:45:00,3600,99045,8.58317549421481,89.0912991655089,14.6559961227395,1.23727354047474,7.99565722229215,4.2383805150744,5.8,55.818435878846,0.3,13.7,121.161869753605,23.1,6.6,7.4,7.8,8.3,9.1,10.3,11,75.5505311125713,79.4245480310276,84.1328766633213,88.4335456043697,94.4120079640744,99.642104944357,102.97334498322,6.9,8.6,11.8,15.2,18.1,19.5,20.2,0,0,0,0
"190","nwis_03083500 _TS.csv",2008-06-10 04:00:00,2013-09-30 15:15:00,3600,67705,8.88074735987002,99.7039015173544,19.6896273099251,1.10191479187315,9.81859433985029,4.77221561106259,5.2,63.3381485754237,6.4,12.7,155.743651146512,31.4,7.2,7.5,8,8.8,9.7,10.4,10.8,86.9950009335198,89.4753111677786,93.3981820198997,97.7950270937734,104.243048331152,112.923780359274,119.163940332133,11.3,12.4,16.5,20.3,23.5,25.4,26.3,0,0,0,0
"191","nwis_03085002 _TS.csv",2014-06-01 04:00:00,2014-07-20 13:16:00,900,109050,10.6314995140379,103.447429817251,13.9180895137513,2.19158248197817,4.2568339426806,8.9338413872258,6.5,65.8645855819631,0,15.1,129.294855346642,29.5,7.8,8,8.6,10.3,12.6,13.9,14.3,96.8611597351019,98.4779193298521,100.860063629084,103.167628935748,105.940399137174,108.770987158983,110.442322405597,0.6,1.5,5.4,14.2,22,25.8,26.8,0,0,0,0
