COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,HUDen2010Cat,PopDen2010Cat,HUDen2010Ws,PopDen2010Ws
14254285,4.4136,4.4136,100.0,100.0,0.5386237532850734,1.2293459239498368,0.5386237532850734,1.2293459239498368
14251917,2.7486,2.7486,100.0,100.0,0.5849284193287492,0.9733484698853961,0.5849284193287492,0.9733484698853961
14254839,0.0747,36.0576,100.0,100.0,0.8782604860180723,1.875834333313253,0.8869246602710663,1.8923263310528156
909020863,4.7457,726.5205,100.0,100.0,0.5030149525165939,1.0399209834003413,0.5082005988194415,0.935457459539545
14252043,30.9528,407.0673,100.0,100.0,0.5298716706995813,1.018094056719586,0.46544146240855017,0.9029395763823329
14252081,5.3091,414.036,100.0,100.0,0.5030149525173758,1.0399209834005765,0.46607386727241107,0.9052451303212764
14254155,7.9452,7.9452,100.0,100.0,0.8909968634956955,1.900077648663344,0.8909968634956955,1.900077648663344
14252041,1.6596,1.6596,100.0,100.0,0.5030149525168114,1.039920983400217,0.5030149525168114,1.039920983400217
14252159,5.2785,5.2785,100.0,100.0,0.7812473016044331,1.6620653377306052,0.7812473016044331,1.6620653377306052
14251971,4.1382,241.7616,100.0,100.0,0.5030149525163115,1.0399209833993042,0.4448498132966526,0.8741470294761452
14253837,0.2007,1.8612,100.0,100.0,0.5030149525156951,1.0399209833991032,0.5030149525145068,1.0399209833994196
14251983,4.4361,4.4361,100.0,100.0,0.584928419330493,0.9733484698863866,0.584928419330493,0.9733484698863866
14252027,13.8231,369.1809,100.0,100.0,0.5212386855791392,1.0251102353929291,0.4593338471383541,0.8907121619011168
14252183,16.3584,16.3584,100.0,100.0,0.5030149525170554,1.0399209834011882,0.5030149525170554,1.0399209834011882
14254565,6.5025,6.5025,100.0,100.0,0.5593012986477508,1.1346590939100345,0.5593012986477508,1.1346590939100345
14254875,0.1404,6.6429,100.0,100.0,0.5593012986480769,1.1346590939102565,0.5593012986478797,1.1346590939100394
14253879,3.375,72.0576,100.0,100.0,0.5317773448506666,1.1036872641839999,0.5043621119304555,1.0429076384879594
14254421,2.7783,2.7783,100.0,100.0,1.00565342734046,2.330769353025591,1.00565342734046,2.330769353025591
14254299,3.7773,3.7773,100.0,100.0,0.5386237532856802,1.2293459239504407,0.5386237532856802,1.2293459239504407
14251845,1.1268,10.5354,100.0,100.0,0.41698136224281157,0.8296266964536742,0.416981362243294,0.8296266964548096
14251847,7.1901,7.1901,100.0,100.0,0.41698136224308424,0.8296266964551259,0.41698136224308424,0.8296266964551259
14252099,2.8521,45.9819,100.0,100.0,0.5030149525181445,1.0399209833985483,0.503014952518056,1.0399209834002074
14254241,4.0194,4.0194,100.0,100.0,0.8909968634952978,1.9000776486609943,0.8909968634952978,1.9000776486609943
14252137,2.0799,2.0799,100.0,100.0,0.5030149525183903,1.0399209834011252,0.5030149525183903,1.0399209834011252
14251913,4.0392,156.7152,100.0,100.0,0.49781149666889485,0.8987976034536543,0.4202905735866719,0.8324585753296426
14253835,1.2789,66.8214,100.0,100.0,0.5030149525172414,1.0399209833990148,0.5030149525173073,1.0399209833997791
